timestamp,gesture,confidence
2026-08-14T14:12:56.853913,None,0.5754098296165466
2026-08-14T14:12:56.887756,None,0.5493336915969849
2026-08-14T14:12:56.932762,None,0.6470155119895935
2026-08-14T14:12:56.954219,None,0.5484128594398499
2026-08-14T14:12:56.996765,None,0.5756421685218811
2026-08-14T14:12:57.039531,None,0.5357056856155396
2026-08-14T14:12:57.082086,None,0.5370801091194153
2026-08-14T14:12:57.121922,None,0.5043374300003052
2026-08-14T14:13:00.570582,Open_Palm,0.5979520678520203
2026-08-14T14:13:00.617889,Open_Palm,0.5964765548706055
2026-08-14T14:13:00.691817,Open_Palm,0.5911965370178223
2026-08-14T14:13:00.718535,Open_Palm,0.6079094409942627
2026-08-14T14:13:00.774345,Open_Palm,0.6054237484931946
2026-08-14T14:13:00.817291,Open_Palm,0.6071304082870483
2026-08-14T14:13:00.842833,Open_Palm,0.6068453788757324
2026-08-14T14:13:00.882461,Open_Palm,0.602424681186676
2026-08-14T14:13:00.909816,Open_Palm,0.6014775037765503
2026-08-14T14:13:00.954153,Open_Palm,0.6011729836463928
2026-08-14T14:13:00.977162,Open_Palm,0.5981379747390747
2026-08-14T14:13:01.015669,Open_Palm,0.6045004725456238
2026-08-14T14:13:01.058501,Open_Palm,0.6059412956237793
2026-08-14T14:13:01.088554,Open_Palm,0.6080599427223206
2026-08-14T14:13:01.134763,Open_Palm,0.600616455078125
2026-08-14T14:13:01.178406,Open_Palm,0.5997629761695862
2026-08-14T14:13:01.202099,Open_Palm,0.6047906279563904
2026-08-14T14:13:01.242466,Open_Palm,0.5985262989997864
2026-08-14T14:13:01.274342,Open_Palm,0.5974956154823303
2026-08-14T14:13:01.308267,Open_Palm,0.5979088544845581
2026-08-14T14:13:01.342822,Open_Palm,0.5990936160087585
2026-08-14T14:13:01.376590,Open_Palm,0.5989388227462769
2026-08-14T14:13:01.415260,Open_Palm,0.5942879319190979
2026-08-14T14:13:01.449826,Open_Palm,0.5998873710632324
2026-08-14T14:13:01.483983,Open_Palm,0.6009649038314819
2026-08-14T14:13:01.525224,Open_Palm,0.5952576994895935
2026-08-14T14:13:01.558606,Open_Palm,0.6023362874984741
2026-08-14T14:13:01.584408,Open_Palm,0.6093028783798218
2026-08-14T14:13:01.619222,Open_Palm,0.6043311953544617
2026-08-14T14:13:01.654563,Open_Palm,0.5993342995643616
2026-08-14T14:13:01.689381,Open_Palm,0.6005133986473083
2026-08-14T14:13:01.722945,Open_Palm,0.5952122807502747
2026-08-14T14:13:01.751506,Open_Palm,0.5993191599845886
2026-08-14T14:13:01.794309,Open_Palm,0.5975091457366943
2026-08-14T14:13:01.826254,Open_Palm,0.597783088684082
2026-08-14T14:13:01.851529,Open_Palm,0.5961753726005554
2026-08-14T14:13:01.885106,Open_Palm,0.5952808856964111
2026-08-14T14:13:01.918780,Open_Palm,0.5971431732177734
2026-08-14T14:13:01.952550,Open_Palm,0.6005915999412537
2026-08-14T14:13:01.996470,Open_Palm,0.5949229598045349
2026-08-14T14:13:02.021636,Open_Palm,0.5957831740379333
2026-08-14T14:13:02.064570,Open_Palm,0.594820499420166
2026-08-14T14:13:02.089856,Open_Palm,0.5979927182197571
2026-08-14T14:13:02.150105,Open_Palm,0.6008777022361755
2026-08-14T14:13:02.172143,Open_Palm,0.601228654384613
2026-08-14T14:13:02.205818,Open_Palm,0.608745813369751
2026-08-14T14:13:02.239509,Open_Palm,0.6047854423522949
2026-08-14T14:13:02.273272,Open_Palm,0.5975618362426758
2026-08-14T14:13:02.312203,Open_Palm,0.599892258644104
2026-08-14T14:13:02.345748,Open_Palm,0.6054646372795105
2026-08-14T14:13:02.394957,Open_Palm,0.6111226677894592
2026-08-14T14:13:02.428942,Open_Palm,0.5970581769943237
2026-08-14T14:13:02.468383,Open_Palm,0.6000434756278992
2026-08-14T14:13:02.497320,Open_Palm,0.5889263153076172
2026-08-14T14:13:02.537328,Open_Palm,0.5866338610649109
2026-08-14T14:13:02.571755,Open_Palm,0.5854477286338806
2026-08-14T14:13:02.605408,Open_Palm,0.579849362373352
2026-08-14T14:13:02.649164,Open_Palm,0.5762283802032471
2026-08-14T14:13:02.673075,Open_Palm,0.5724461674690247
2026-08-14T14:13:02.717978,Open_Palm,0.5678860545158386
2026-08-14T14:13:02.744052,Open_Palm,0.5632995367050171
2026-08-14T14:13:02.777360,Open_Palm,0.563109278678894
2026-08-14T14:13:02.811916,Open_Palm,0.5666559934616089
2026-08-14T14:13:02.853929,Open_Palm,0.5639742612838745
2026-08-14T14:13:02.879549,Open_Palm,0.5649744868278503
2026-08-14T14:13:02.913544,Open_Palm,0.5626459121704102
2026-08-14T14:13:02.947386,Open_Palm,0.5692033171653748
2026-08-14T14:13:02.984975,Open_Palm,0.5614559054374695
2026-08-14T14:13:03.019828,Open_Palm,0.5650666952133179
2026-08-14T14:13:03.063495,Open_Palm,0.565754234790802
2026-08-14T14:13:03.097398,Open_Palm,0.5646159648895264
2026-08-14T14:13:03.129807,Open_Palm,0.571260392665863
2026-08-14T14:13:03.169968,Open_Palm,0.5706663727760315
2026-08-14T14:13:03.227307,Open_Palm,0.5732177495956421
2026-08-14T14:13:03.270222,Open_Palm,0.5741792917251587
2026-08-14T14:13:03.294508,Open_Palm,0.5779613256454468
2026-08-14T14:13:03.328682,Open_Palm,0.5780316591262817
2026-08-14T14:13:03.374120,Open_Palm,0.5849393606185913
2026-08-14T14:13:03.403030,Open_Palm,0.5826770067214966
2026-08-14T14:13:03.435410,Open_Palm,0.5845122933387756
2026-08-14T14:13:03.485088,Open_Palm,0.5872586369514465
2026-08-14T14:13:03.518639,Open_Palm,0.5903124809265137
2026-08-14T14:13:03.570995,Open_Palm,0.5947332978248596
2026-08-14T14:13:03.607400,Open_Palm,0.5909112095832825
2026-08-14T14:13:03.641396,Open_Palm,0.593202531337738
2026-08-14T14:13:03.684919,Open_Palm,0.5964571833610535
2026-08-14T14:13:03.718805,Open_Palm,0.598632276058197
2026-08-14T14:13:03.743486,Open_Palm,0.5938144326210022
2026-08-14T14:13:03.779060,Open_Palm,0.593894898891449
